Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
2018-04-12,4:53 PM,78,21,12,S,23,32,24.02,0.0,Partly Cloudy / Windy
2018-04-12,5:53 PM,72,15,11,SSW,23,33,24.02,0.0,Mostly Cloudy / Windy
2018-04-12,6:53 PM,69,14,12,WSW,23,32,24.02,0.0,Mostly Cloudy / Windy
2018-04-12,7:53 PM,64,21,19,NW,15,0,24.06,0.0,Mostly Cloudy
2018-04-12,8:53 PM,56,37,49,N,15,24,24.11,0.0,Cloudy
2018-04-11,10:53 AM,74,22,14,W,13,29,24.44,0.0,Mostly Cloudy
2018-04-11,11:53 AM,71,22,16,WNW,22,36,24.43,0.0,Mostly Cloudy / Windy
2018-04-11,12:53 PM,77,24,14,WNW,18,33,24.42,0.0,Mostly Cloudy
2018-04-11,1:53 PM,77,23,13,W,21,33,24.40,0.0,Partly Cloudy / Windy
2018-04-11,2:53 PM,78,22,12,NNW,16,32,24.39,0.0,Partly Cloudy
2018-04-11,3:53 PM,77,20,12,NW,23,30,24.36,0.0,Fair / Windy
2018-04-11,4:53 PM,75,19,12,NW,21,0,24.37,0.0,Partly Cloudy / Windy
2018-04-11,5:53 PM,77,20,12,NNW,17,0,24.37,0.0,Partly Cloudy
2018-04-11,6:53 PM,74,20,13,NW,15,0,24.36,0.0,Partly Cloudy
2018-04-11,7:53 PM,67,19,16,NNW,3,0,24.36,0.0,Mostly Cloudy
2018-04-11,8:53 PM,55,23,29,SSE,14,0,24.38,0.0,Mostly Cloudy
2018-04-11,9:53 PM,55,23,29,SSE,15,0,24.38,0.0,Partly Cloudy
2018-04-13,1:53 AM,40,29,65,NW,17,25,24.23,0.0,Light Snow
2018-04-13,2:53 AM,34,31,89,NNW,21,31,24.25,0.0,Light Snow / Windy
2018-04-15,12:53 PM,57,26,30,NNE,9,17,24.65,0.0,Partly Cloudy
2018-04-15,1:53 PM,57,26,30,NE,8,17,24.64,0.0,Partly Cloudy
2018-04-15,2:53 PM,59,26,28,VAR,7,0,24.61,0.0,Partly Cloudy
